date,gear,loc,trt,oyster_num,s_boat,t_boat,clean_wt_in_S,dry_tissue_in_T,dry_shell_in_S
8/15/22,BP,in,BPi,7,2.128,2.103,21.598,2.612,15.219
8/15/22,BP,in,BPi,8,2.097,2.125,22.417,2.664,16.050
8/15/22,BP,in,BPi,9,2.097,2.121,34.618,3.034,24.701
8/15/22,BP,in,BPi,10,2.138,2.104,20.270,2.694,14.770
8/15/22,BP,in,BPi,11,2.089,2.090,24.680,2.711,17.130
8/15/22,BP,in,BPi,12,2.122,2.109,25.073,2.830,16.601
8/15/22,BP,in,BPi,13,2.103,2.105,34.148,2.884,23.029
8/15/22,BP,in,BPi,14,2.117,2.110,23.747,2.653,17.483
8/15/22,BP,in,BPi,15,2.129,2.080,14.724,2.428,11.206
8/15/22,BP,in,BPi,16,2.089,2.104,24.692,3.003,18.087
8/15/22,BP,in,BPi,17,2.117,2.112,22.907,2.590,16.802
8/15/22,BP,in,BPi,18,2.111,2.137,36.319,3.061,26.370
8/15/22,BP,in,BPi,19,2.134,2.093,16.560,2.591,12.483
8/15/22,BP,in,BPi,20,2.081,2.124,25.951,2.824,19.909
8/15/22,FB,in,FBi,21,2.129,2.110,31.965,2.980,21.745
8/15/22,FB,in,FBi,22,2.123,2.092,33.196,2.925,23.324
8/15/22,FB,in,FBi,23,2.088,2.090,41.362,3.386,28.253
8/15/22,FB,in,FBi,24,2.090,2.096,23.250,3.032,14.597
8/15/22,FB,in,FBi,25,2.109,2.126,18.897,2.764,14.883
8/15/22,FB,in,FBi,26,2.106,2.119,22.199,2.652,15.061
8/15/22,FB,in,FBi,27,2.087,2.084,22.812,2.752,15.423
8/15/22,FB,in,FBi,28,2.094,2.101,13.807,2.538,9.576
8/15/22,FB,in,FBi,29,2.062,2.106,48.236,3.804,32.542
8/15/22,FB,in,FBi,30,2.108,2.102,32.002,3.204,21.158
8/15/22,FB,in,FBi,31,2.099,2.093,21.946,2.606,13.840
8/15/22,FB,in,FBi,32,2.104,2.220,29.387,3.106,20.316
8/15/22,FB,in,FBi,33,2.115,2.115,23.833,3.043,16.183
8/15/22,FB,in,FBi,34,2.110,2.113,19.934,2.661,13.287
8/15/22,FB,in,FBi,35,2.085,2.088,19.856,2.678,13.919
8/15/22,FB,in,FBi,36,2.108,2.087,15.968,2.382,10.898
8/15/22,FB,in,FBi,37,2.108,2.092,18.832,2.471,13.076
8/15/22,FB,in,FBi,38,2.106,2.100,15.591,2.494,10.936
8/15/22,FB,in,FBi,39,2.099,2.109,22.626,2.819,15.036
8/15/22,FB,in,FBi,40,2.072,2.102,19.667,2.563,13.803
8/15/22,FC,in,FCi,41,2.116,2.118,25.726,2.853,17.266
8/15/22,FC,in,FCi,42,2.099,2.090,37.851,3.343,24.951
8/15/22,FC,in,FCi,43,2.064,2.125,13.589,2.504,9.307
8/15/22,FC,in,FCi,44,2.085,2.134,27.715,3.253,17.074
8/15/22,FC,in,FCi,45,2.134,2.112,32.129,3.357,21.999
8/15/22,FC,in,FCi,46,2.099,2.120,30.234,3.119,20.440
8/15/22,FC,in,FCi,47,2.075,2.100,47.138,3.745,33.627
8/15/22,FC,in,FCi,48,2.079,2.094,24.144,2.194,16.555
8/15/22,FC,in,FCi,49,2.269,2.097,26.160,2.974,17.454
8/15/22,FC,in,FCi,50,2.105,2.128,27.755,3.153,17.718
8/15/22,FC,in,FCi,51,2.094,2.071,19.392,2.659,13.179
8/15/22,FC,in,FCi,52,2.109,2.291,13.201,2.676,9.181
8/15/22,FC,in,FCi,53,2.105,2.095,30.572,3.064,20.223
8/15/22,FC,in,FCi,54,2.112,2.102,32.370,3.140,21.337
8/15/22,FC,in,FCi,55,2.125,2.107,28.481,3.062,18.593
8/15/22,FC,in,FCi,56,2.111,2.122,17.457,2.685,11.754
8/15/22,FC,in,FCi,57,2.115,2.077,23.902,2.865,16.527
8/15/22,FC,in,FCi,58,2.095,2.109,19.431,2.816,13.062
8/15/22,FC,in,FCi,59,2.103,2.078,16.141,2.685,11.356
8/15/22,FC,in,FCi,60,2.101,2.121,27.736,3.080,17.958
8/15/22,BP,out,BPo,61,2.116,2.096,18.864,2.765,14.444
8/15/22,BP,out,BPo,62,2.141,2.098,15.030,2.669,9.966
8/15/22,BP,out,BPo,63,2.086,2.126,21.986,2.910,15.429
8/15/22,BP,out,BPo,64,2.104,2.114,10.151,2.413,7.404
8/15/22,BP,out,BPo,65,2.099,2.104,15.921,2.682,11.299
8/15/22,BP,out,BPo,66,2.098,2.089,33.887,3.680,23.099
8/15/22,BP,out,BPo,67,2.111,2.115,17.589,2.770,12.129
8/15/22,BP,out,BPo,68,2.127,2.097,18.471,2.634,13.167
8/15/22,BP,out,BPo,69,2.112,2.105,14.050,2.718,9.640
8/15/22,BP,out,BPo,70,2.132,2.104,14.713,2.679,10.352
8/15/22,BP,out,BPo,71,2.090,2.122,22.973,2.989,15.102
8/15/22,BP,out,BPo,72,2.119,2.138,9.804,2.505,7.543
8/15/22,BP,out,BPo,73,2.103,2.103,18.067,2.520,12.731
8/15/22,BP,out,BPo,74,2.183,2.102,19.833,2.781,14.499
8/15/22,BP,out,BPo,75,2.103,2.111,21.963,2.764,14.977
8/15/22,BP,out,BPo,76,2.210,2.128,20.663,2.764,14.281
8/15/22,BP,out,BPo,77,2.112,2.088,18.042,2.647,12.843
8/15/22,BP,out,BPo,78,2.102,2.100,8.728,2.413,6.524
8/15/22,BP,out,BPo,79,2.128,2.107,19.944,2.855,14.323
8/15/22,BP,out,BPo,80,2.103,2.099,14.370,2.607,10.586
8/15/22,FB,out,FBo,81,2.096,2.150,24.095,2.979,16.616
8/15/22,FB,out,FBo,82,2.100,2.114,42.354,3.403,28.186
8/15/22,FB,out,FBo,83,2.091,2.116,32.733,2.959,22.770
8/15/22,FB,out,FBo,84,2.091,2.111,28.002,3.125,18.617
8/15/22,FB,out,FBo,85,2.116,2.088,23.969,2.795,16.187
8/15/22,FB,out,FBo,86,2.077,2.093,19.857,2.838,13.219
8/15/22,FB,out,FBo,87,2.124,2.111,33.982,3.248,22.435
8/15/22,FB,out,FBo,88,2.095,2.110,14.563,2.554,9.869
8/15/22,FB,out,FBo,89,2.128,2.113,14.243,2.498,9.888
8/15/22,FB,out,FBo,90,2.110,2.114,17.681,2.645,11.729
8/15/22,FB,out,FBo,91,2.097,2.135,14.428,2.618,10.571
8/15/22,FB,out,FBo,92,2.105,2.103,14.583,3.460,9.875
8/15/22,FB,out,FBo,93,2.105,2.102,15.319,2.546,9.813
8/15/22,FB,out,FBo,94,2.107,2.116,38.453,2.597,26.107
8/15/22,FB,out,FBo,95,2.103,2.104,20.599,2.759,13.933
8/15/22,FB,out,FBo,96,2.110,2.088,13.443,2.460,9.697
8/15/22,FB,out,FBo,97,2.095,2.073,27.823,3.044,18.417
8/15/22,FB,out,FBo,98,2.093,2.117,11.431,2.401,7.934
8/15/22,FB,out,FBo,99,2.097,2.103,13.802,2.521,9.507
8/15/22,FB,out,FBo,100,2.106,2.098,21.528,2.685,14.492
8/15/22,FC,out,FCo,101,2.118,2.103,12.105,2.463,8.875
8/15/22,FC,out,FCo,102,2.125,2.090,26.059,3.210,17.384
8/15/22,FC,out,FCo,103,2.128,2.115,39.225,3.173,27.265
8/15/22,FC,out,FCo,104,2.086,2.089,20.984,2.821,14.342
8/15/22,FC,out,FCo,105,2.122,2.269,13.732,2.646,9.637
8/15/22,FC,out,FCo,106,2.127,2.109,12.891,2.692,8.945
8/15/22,FC,out,FCo,107,2.103,2.132,14.685,2.570,10.330
8/15/22,FC,out,FCo,108,2.099,2.103,49.836,3.833,32.877
8/15/22,FC,out,FCo,109,2.122,2.115,20.622,2.895,13.976
8/15/22,FC,out,FCo,110,2.114,2.130,29.679,3.561,20.374
8/15/22,FC,out,FCo,111,2.107,2.108,32.611,2.896,23.147
8/15/22,FC,out,FCo,112,2.123,2.085,15.751,2.718,11.403
8/15/22,FC,out,FCo,113,2.086,2.126,26.930,2.638,19.756
8/15/22,FC,out,FCo,114,2.087,2.090,16.197,2.679,11.234
8/15/22,FC,out,FCo,115,2.107,2.289,13.419,2.592,9.500
8/15/22,FC,out,FCo,116,2.101,2.111,27.910,2.902,18.339
8/15/22,FC,out,FCo,117,2.110,2.084,12.171,2.408,8.758
8/15/22,FC,out,FCo,118,2.116,2.119,35.023,3.328,22.518
8/15/22,FC,out,FCo,119,2.074,2.131,22.950,2.864,16.018
8/15/22,FC,out,FCo,120,2.103,2.116,43.735,3.570,32.332
10/17/22,BP,in,BPi,101,2.26,0.92,93.10,3.28,72.59
10/17/22,BP,in,BPi,102,2.11,0.93,56.43,2.64,40.57
10/17/22,BP,in,BPi,103,2.11,0.91,49.77,2.74,35.13
10/17/22,BP,in,BPi,104,2.11,0.90,42.55,2.43,30.06
10/17/22,BP,in,BPi,105,2.11,0.92,39.52,1.92,29.42
10/17/22,BP,in,BPi,106,2.12,0.92,50.06,2.58,34.37
10/17/22,BP,in,BPi,107,2.11,0.91,35.32,1.79,24.43
10/17/22,BP,in,BPi,108,2.09,0.92,35.90,1.97,26.51
10/17/22,BP,in,BPi,109,2.09,0.91,40.82,1.98,30.87
10/17/22,BP,in,BPi,110,2.11,0.91,29.42,1.93,22.23
10/17/22,BP,in,BPi,111,2.23,0.90,37.53,2.02,27.33
10/17/22,BP,in,BPi,112,2.12,0.93,53.25,2.70,36.67
10/17/22,BP,in,BPi,113,2.10,0.93,28.89,1.78,20.65
10/17/22,BP,in,BPi,114,2.11,0.92,38.46,2.05,27.91
10/17/22,BP,in,BPi,115,2.09,0.92,17.00,1.29,12.66
10/17/22,BP,in,BPi,116,2.09,0.92,29.63,1.72,21.74
10/17/22,BP,in,BPi,117,2.11,0.93,45.01,2.11,31.69
10/17/22,BP,in,BPi,118,2.10,0.92,24.92,1.74,17.97
10/17/22,BP,in,BPi,119,2.11,0.91,49.37,2.25,36.35
10/17/22,BP,in,BPi,120,2.10,0.91,40.30,2.29,29.81
10/17/22,FB,in,FBi,21,2.10,0.92,28.07,1.72,22.40
10/17/22,FB,in,FBi,22,2.26,0.91,26.99,1.82,20.42
10/17/22,FB,in,FBi,23,2.12,0.93,13.04,1.35,10.62
10/17/22,FB,in,FBi,24,2.11,0.92,48.90,2.65,33.69
10/17/22,FB,in,FBi,25,2.12,0.91,30.99,1.79,22.57
10/17/22,FB,in,FBi,26,2.12,0.93,27.22,1.88,18.58
10/17/22,FB,in,FBi,27,2.11,0.93,18.51,1.38,13.88
10/17/22,FB,in,FBi,28,2.12,0.92,29.73,1.78,21.48
10/17/22,FB,in,FBi,29,2.13,0.93,37.19,2.14,26.53
10/17/22,FB,in,FBi,30,2.14,0.93,21.78,1.50,16.74
10/17/22,FB,in,FBi,31,2.11,0.93,28.01,2.13,19.37
10/17/22,FB,in,FBi,32,2.09,0.92,24.14,1.48,18.04
10/17/22,FB,in,FBi,33,2.13,0.93,18.99,1.29,14.63
10/17/22,FB,in,FBi,34,2.14,0.93,17.25,1.39,13.28
10/17/22,FB,in,FBi,35,2.10,0.94,25.38,1.86,17.68
10/17/22,FB,in,FBi,36,2.12,0.92,28.93,1.92,20.76
10/17/22,FB,in,FBi,37,2.10,0.92,32.80,1.49,24.44
10/17/22,FB,in,FBi,38,2.08,0.92,13.29,1.23,10.21
10/17/22,FB,in,FBi,39,2.13,0.91,54.31,2.52,38.44
10/17/22,FB,in,FBi,40,2.12,0.91,33.42,2.01,24.62
10/17/22,FC,in,FCi,41,2.13,0.94,48.66,2.82,34.77
10/17/22,FC,in,FCi,42,2.08,0.93,44.89,2.35,31.65
10/17/22,FC,in,FCi,43,2.09,0.94,45.49,2.07,33.22
10/17/22,FC,in,FCi,44,2.13,0.93,54.18,2.73,37.15
10/17/22,FC,in,FCi,45,2.10,0.91,38.12,2.44,26.16
10/17/22,FC,in,FCi,46,2.11,0.92,34.44,1.91,26.59
10/17/22,FC,in,FCi,47,2.13,0.91,29.05,1.81,21.42
10/17/22,FC,in,FCi,48,2.12,0.92,48.93,2.61,34.73
10/17/22,FC,in,FCi,49,2.09,0.93,35.20,2.29,24.74
10/17/22,FC,in,FCi,50,2.13,0.92,35.67,2.04,24.34
10/17/22,FC,in,FCi,51,2.10,0.92,33.80,2.22,23.94
10/17/22,FC,in,FCi,52,2.11,0.93,29.13,1.99,20.78
10/17/22,FC,in,FCi,53,2.09,0.93,63.75,3.25,45.81
10/17/22,FC,in,FCi,54,2.14,0.92,46.06,2.77,32.40
10/17/22,FC,in,FCi,55,2.14,0.93,26.16,1.75,19.30
10/17/22,FC,in,FCi,56,2.13,0.93,44.68,2.17,31.52
10/17/22,FC,in,FCi,57,2.10,0.94,21.01,1.73,14.98
10/17/22,FC,in,FCi,58,2.13,0.92,38.83,2.35,26.46
10/17/22,FC,in,FCi,59,2.14,0.92,62.66,2.73,43.48
10/17/22,FC,in,FCi,60,2.11,0.93,51.56,2.90,36.30
10/17/22,BP,out,BPo,81,2.14,0.92,29.38,2.12,20.69
10/17/22,BP,out,BPo,82,2.14,0.90,43.95,2.57,30.29
10/17/22,BP,out,BPo,83,2.10,0.91,61.68,3.30,44.64
10/17/22,BP,out,BPo,84,2.14,0.92,48.78,2.25,35.09
10/17/22,BP,out,BPo,85,2.10,0.92,42.58,2.45,29.93
10/17/22,BP,out,BPo,86,2.11,0.91,36.71,2.33,26.30
10/17/22,BP,out,BPo,87,2.12,0.91,27.03,1.73,12.25
10/17/22,BP,out,BPo,88,2.09,0.93,46.18,2.60,32.89
10/17/22,BP,out,BPo,89,2.11,0.92,37.48,2.11,28.05
10/17/22,BP,out,BPo,90,2.12,0.92,34.99,2.25,25.74
10/17/22,BP,out,BPo,91,2.09,0.93,40.78,2.50,27.23
10/17/22,BP,out,BPo,92,2.10,0.92,40.15,2.36,28.76
10/17/22,BP,out,BPo,93,2.11,0.91,48.31,2.53,34.85
10/17/22,BP,out,BPo,94,2.09,0.92,35.05,2.16,24.87
10/17/22,BP,out,BPo,95,2.09,0.92,25.72,1.74,19.33
10/17/22,BP,out,BPo,96,2.10,0.91,37.85,2.30,27.98
10/17/22,BP,out,BPo,97,2.11,0.92,26.92,1.77,19.62
10/17/22,BP,out,BPo,98,2.08,0.91,26.03,1.77,19.57
10/17/22,BP,out,BPo,99,2.09,0.91,23.08,1.63,16.73
10/17/22,BP,out,BPo,100,2.10,0.92,42.00,1.96,30.53
10/17/22,FB,out,FBo,1,2.10,0.93,30.40,1.67,23.60
10/17/22,FB,out,FBo,2,2.14,0.93,33.22,1.79,24.81
10/17/22,FB,out,FBo,3,2.10,0.92,44.97,2.09,32.17
10/17/22,FB,out,FBo,4,2.09,0.92,33.58,1.76,25.47
10/17/22,FB,out,FBo,5,2.10,0.92,35.30,1.87,26.83
10/17/22,FB,out,FBo,6,2.09,0.92,46.87,2.46,34.53
10/17/22,FB,out,FBo,7,2.09,0.91,17.93,1.49,13.57
10/17/22,FB,out,FBo,8,2.12,0.93,27.90,1.49,20.49
10/17/22,FB,out,FBo,9,2.09,0.94,38.58,2.03,27.33
10/17/22,FB,out,FBo,10,2.13,0.92,30.97,1.77,22.60
10/17/22,FB,out,FBo,11,2.15,0.92,39.23,1.92,28.39
10/17/22,FB,out,FBo,12,2.12,0.93,21.75,1.33,16.55
10/17/22,FB,out,FBo,13,2.11,0.92,25.36,1.96,17.86
10/17/22,FB,out,FBo,14,2.12,0.94,36.36,2.04,26.53
10/17/22,FB,out,FBo,15,2.11,0.94,11.62,1.23,9.14
10/17/22,FB,out,FBo,16,2.11,0.91,38.22,1.86,28.28
10/17/22,FB,out,FBo,17,2.11,0.93,20.27,1.44,15.87
10/17/22,FB,out,FBo,18,2.10,0.93,54.96,2.82,37.34
10/17/22,FB,out,FBo,19,2.13,0.93,29.74,1.82,21.09
10/17/22,FB,out,FBo,20,2.11,0.93,20.58,1.60,15.06
10/17/22,FC,out,FCo,61,2.10,0.92,24.05,1.92,17.26
10/17/22,FC,out,FCo,62,2.12,0.91,50.21,3.35,34.14
10/17/22,FC,out,FCo,63,2.11,0.91,68.81,4.36,45.09
10/17/22,FC,out,FCo,64,2.12,0.91,22.34,2.16,15.83
10/17/22,FC,out,FCo,65,2.10,0.92,27.49,1.75,20.47
10/17/22,FC,out,FCo,66,2.11,0.91,37.66,2.47,27.29
10/17/22,FC,out,FCo,67,2.13,0.91,23.58,1.85,19.14
10/17/22,FC,out,FCo,68,2.12,0.91,33.49,2.14,24.50
10/17/22,FC,out,FCo,69,2.10,0.92,22.15,1.86,16.91
10/17/22,FC,out,FCo,70,2.09,0.91,54.06,3.39,37.40
10/17/22,FC,out,FCo,71,2.13,0.92,24.33,1.88,18.42
10/17/22,FC,out,FCo,72,2.12,0.92,12.87,1.38,10.07
10/17/22,FC,out,FCo,73,2.14,0.93,24.48,1.90,17.80
10/17/22,FC,out,FCo,74,2.10,0.92,47.69,2.93,33.34
10/17/22,FC,out,FCo,75,2.13,0.93,25.81,2.05,18.97
10/17/22,FC,out,FCo,76,2.11,0.92,31.46,2.24,22.74
10/17/22,FC,out,FCo,77,2.12,0.92,31.07,2.11,24.05
10/17/22,FC,out,FCo,78,2.08,0.92,37.67,2.63,27.17
10/17/22,FC,out,FCo,79,2.14,0.92,37.06,2.24,27.34
10/17/22,FC,out,FCo,80,2.09,0.92,27.89,1.88,21.23
