date,location,gear,trt,cage,bag,oyster_num,height,length,width,tag_num
6/14/22,in,BP,BPi,,,93,40,24,10,BPi
6/14/22,in,BP,BPi,,,94,25,19,6,BPi
6/14/22,in,BP,BPi,,,95,27,21,7,BPi
6/14/22,in,BP,BPi,,,96,48,40,12,BPi
6/14/22,out,BP,BPo,,,1,50,34,11,BPo
6/14/22,out,BP,BPo,,,2,31,27,8,BPo
6/14/22,out,BP,BPo,,,3,50,27,11,BPo
6/14/22,out,BP,BPo,,,4,44,30,8,BPo
6/14/22,out,BP,BPo,,,5,52,38,19,BPo
6/14/22,out,BP,BPo,,,6,55,35,11,BPo
6/14/22,out,BP,BPo,,,7,52,33,14,BPo
6/14/22,out,BP,BPo,,,8,45,29,8,BPo
6/14/22,out,BP,BPo,,,9,64,36,14,BPo
6/14/22,out,BP,BPo,,,10,45,30,10,BPo
6/14/22,out,BP,BPo,,,11,28,29,10,BPo
6/14/22,out,BP,BPo,,,12,40,29,8,BPo
6/14/22,out,BP,BPo,,,13,39,26,8,BPo
6/14/22,out,BP,BPo,,,14,40,26,10,BPo
6/14/22,out,BP,BPo,,,15,42,27,12,BPo
6/14/22,out,BP,BPo,,,16,37,26,8,BPo
6/14/22,out,BP,BPo,,,17,41,30,12,BPo
6/14/22,out,BP,BPo,,,18,40,24,8,BPo
6/14/22,out,BP,BPo,,,19,38,24,8,BPo
6/14/22,out,BP,BPo,,,20,34,38,11,BPo
6/14/22,out,BP,BPo,,,21,65,41,14,BPo
6/14/22,out,BP,BPo,,,22,37,26,9,BPo
6/14/22,out,BP,BPo,,,23,48,32,9,BPo
6/14/22,out,BP,BPo,,,24,40,30,10,BPo
6/14/22,out,BP,BPo,,,25,42,27,15,BPo
6/14/22,out,BP,BPo,,,26,42,27,9,BPo
6/14/22,out,BP,BPo,,,27,37,21,9,BPo
6/14/22,out,BP,BPo,,,28,54,36,13,BPo
6/14/22,out,BP,BPo,,,29,28,28,10,BPo
6/14/22,out,BP,BPo,,,30,39,28,8,BPo
6/14/22,out,BP,BPo,,,31,41,27,10,BPo
6/14/22,out,BP,BPo,,,32,51,35,12,BPo
6/14/22,out,BP,BPo,,,33,39,27,8,BPo
6/14/22,out,BP,BPo,,,34,65,40,15,BPo
6/14/22,out,BP,BPo,,,35,57,31,19,BPo
6/14/22,out,BP,BPo,,,36,58,35,15,BPo
6/14/22,out,BP,BPo,,,37,45,26,10,BPo
6/14/22,out,BP,BPo,,,38,62,40,15,BPo
6/14/22,out,BP,BPo,,,39,36,25,7,BPo
6/14/22,out,BP,BPo,,,40,41,33,14,BPo
6/14/22,out,BP,BPo,,,41,52,41,13,BPo
6/14/22,out,BP,BPo,,,42,44,27,9,BPo
6/14/22,out,BP,BPo,,,43,62,36,17,BPo
6/14/22,out,BP,BPo,,,44,40,28,13,BPo
6/14/22,out,BP,BPo,,,45,40,25,14,BPo
6/14/22,out,BP,BPo,,,46,47,30,11,BPo
6/14/22,out,BP,BPo,,,47,36,25,9,BPo
6/14/22,out,BP,BPo,,,48,49,32,15,BPo
6/14/22,out,BP,BPo,,,49,52,38,14,BPo
6/14/22,out,BP,BPo,,,50,44,30,11,BPo
6/14/22,out,BP,BPo,,,51,37,25,9,BPo
6/14/22,out,BP,BPo,,,52,59,31,12,BPo
6/14/22,out,BP,BPo,,,53,52,34,12,BPo
6/14/22,out,BP,BPo,,,54,53,33,12,BPo
6/14/22,out,BP,BPo,,,55,32,23,8,BPo
6/14/22,out,BP,BPo,,,56,42,29,11,BPo
6/14/22,out,BP,BPo,,,57,60,34,13,BPo
6/14/22,out,BP,BPo,,,58,59,40,15,BPo
6/14/22,out,BP,BPo,,,59,47,30,10,BPo
6/14/22,out,BP,BPo,,,60,52,32,10,BPo
6/14/22,out,BP,BPo,,,61,54,29,12,BPo
6/14/22,out,BP,BPo,,,62,51,39,12,BPo
6/14/22,out,BP,BPo,,,63,66,37,15,BPo
6/14/22,out,BP,BPo,,,64,62,33,12,BPo
6/14/22,out,BP,BPo,,,65,48,27,11,BPo
6/14/22,out,BP,BPo,,,66,52,36,13,BPo
6/14/22,out,BP,BPo,,,67,43,26,10,BPo
6/14/22,out,BP,BPo,,,68,43,21,10,BPo
6/14/22,out,BP,BPo,,,69,34,21,8,BPo
6/14/22,out,BP,BPo,,,70,33,21,7,BPo
6/14/22,out,BP,BPo,,,71,27,20,5,BPo
6/14/22,out,BP,BPo,,,72,38,28,12,BPo
6/14/22,out,BP,BPo,,,73,24,30,10,BPo
6/14/22,out,BP,BPo,,,74,25,22,6,BPo
6/14/22,out,BP,BPo,,,75,26,21,7,BPo
6/14/22,out,BP,BPo,,,76,44,32,12,BPo
6/14/22,out,BP,BPo,,,77,68,34,17,BPo
6/14/22,out,BP,BPo,,,78,68,39,16,BPo
6/14/22,out,BP,BPo,,,79,32,21,9,BPo
6/14/22,out,BP,BPo,,,80,42,31,10,BPo
6/14/22,out,BP,BPo,,,81,37,30,10,BPo
6/14/22,out,BP,BPo,,,82,38,26,11,BPo
6/14/22,out,BP,BPo,,,83,50,37,17,BPo
6/14/22,out,BP,BPo,,,84,40,28,11,BPo
6/14/22,out,BP,BPo,,,85,30,21,8,BPo
6/14/22,out,BP,BPo,,,86,47,29,12,BPo
6/14/22,out,BP,BPo,,,87,62,43,15,BPo
6/14/22,out,BP,BPo,,,88,43,30,16,BPo
6/14/22,out,BP,BPo,,,89,52,32,13,BPo
6/14/22,out,BP,BPo,,,90,52,28,14,BPo
6/14/22,out,BP,BPo,,,91,66,35,18,BPo
6/14/22,out,BP,BPo,,,92,31,20,11,BPo
6/14/22,out,BP,BPo,,,93,39,22,9,BPo
6/14/22,out,BP,BPo,,,94,60,35,15,BPo
6/14/22,out,BP,BPo,,,95,31,24,8,BPo
6/14/22,out,BP,BPo,,,96,27,24,12,BPo
6/14/22,in,FB,FBi,,1,1,38,24,8,1
6/14/22,in,FB,FBi,,1,2,44,27,11,1
6/14/22,in,FB,FBi,,1,3,52,34,11,1
6/14/22,in,FB,FBi,,1,4,54,41,12,1
6/14/22,in,FB,FBi,,1,5,44,29,12,1
6/14/22,in,FB,FBi,,1,6,29,22,12,1
6/14/22,in,FB,FBi,,1,7,54,44,20,1
6/14/22,in,FB,FBi,,1,8,46,35,12,1
6/14/22,in,FB,FBi,,1,9,47,28,10,1
6/14/22,in,FB,FBi,,1,10,67,40,18,1
6/14/22,in,FB,FBi,,1,11,51,39,11,1
6/14/22,in,FB,FBi,,1,12,57,36,13,1
6/14/22,in,FB,FBi,,1,13,65,41,13,1
6/14/22,in,FB,FBi,,1,14,57,40,20,1
6/14/22,in,FB,FBi,,1,15,45,37,11,1
6/14/22,in,FB,FBi,,1,16,62,30,12,1
6/14/22,in,FB,FBi,,1,17,53,46,20,1
6/14/22,in,FB,FBi,,1,18,60,30,15,1
6/14/22,in,FB,FBi,,1,19,47,32,11,1
6/14/22,in,FB,FBi,,1,20,29,22,12,1
6/14/22,in,FB,FBi,,1,21,35,27,10,1
6/14/22,in,FB,FBi,,1,22,35,22,9,1
6/14/22,in,FB,FBi,,1,23,40,35,10,1
6/14/22,in,FB,FBi,,1,24,57,35,10,1
6/14/22,in,FB,FBi,,1,25,35,26,10,1
6/14/22,in,FB,FBi,,1,26,52,30,13,1
6/14/22,in,FB,FBi,,1,27,55,36,10,1
6/14/22,in,FB,FBi,,1,28,31,24,11,1
6/14/22,in,FB,FBi,,1,29,45,35,15,1
6/14/22,in,FB,FBi,,1,30,26,21,6,1
6/14/22,in,FB,FBi,,1,31,44,31,11,1
6/14/22,in,FB,FBi,,1,32,45,32,10,1
6/14/22,in,FB,FBi,,2,33,44,29,11,2
6/14/22,in,FB,FBi,,2,34,44,25,11,2
6/14/22,in,FB,FBi,,2,35,35,29,9,2
6/14/22,in,FB,FBi,,2,36,43,29,12,2
6/14/22,in,FB,FBi,,2,37,36,27,11,2
6/14/22,in,FB,FBi,,2,38,37,30,11,2
6/14/22,in,FB,FBi,,2,39,40,31,10,2
6/14/22,in,FB,FBi,,2,40,64,32,14,2
6/14/22,in,FB,FBi,,2,41,39,29,10,2
6/14/22,in,FB,FBi,,2,42,57,39,14,2
6/14/22,in,FB,FBi,,2,43,47,36,15,2
6/14/22,in,FB,FBi,,2,44,32,33,9,2
6/14/22,in,FB,FBi,,2,45,50,30,15,2
6/14/22,in,FB,FBi,,2,46,51,30,14,2
6/14/22,in,FB,FBi,,2,47,24,20,6,2
6/14/22,in,FB,FBi,,2,48,32,22,7,2
6/14/22,in,FB,FBi,,2,49,52,30,10,2
6/14/22,in,FB,FBi,,2,50,41,29,12,2
6/14/22,in,FB,FBi,,2,51,41,32,9,2
6/14/22,in,FB,FBi,,2,52,39,29,11,2
6/14/22,in,FB,FBi,,2,53,64,39,18,2
6/14/22,in,FB,FBi,,2,54,53,29,11,2
6/14/22,in,FB,FBi,,2,55,62,47,16,2
6/14/22,in,FB,FBi,,2,56,44,30,10,2
6/14/22,in,FB,FBi,,2,57,54,34,14,2
6/14/22,in,FB,FBi,,2,58,69,40,24,2
6/14/22,in,FB,FBi,,2,59,31,25,8,2
6/14/22,in,FB,FBi,,2,60,62,37,19,2
6/14/22,in,FB,FBi,,2,61,32,19,10,2
6/14/22,in,FB,FBi,,2,62,63,30,18,2
6/14/22,in,FB,FBi,,2,63,40,29,10,2
6/14/22,in,FB,FBi,,2,64,52,34,14,2
6/14/22,in,FB,FBi,,3,65,25,19,6,3
6/14/22,in,FB,FBi,,3,66,49,39,15,3
6/14/22,in,FB,FBi,,3,67,37,24,12,3
6/14/22,in,FB,FBi,,3,68,30,16,7,3
6/14/22,in,FB,FBi,,3,69,29,18,10,3
6/14/22,in,FB,FBi,,3,70,32,26,9,3
6/14/22,in,FB,FBi,,3,71,49,30,13,3
6/14/22,in,FB,FBi,,3,72,31,23,8,3
6/14/22,in,FB,FBi,,3,73,60,30,15,3
6/14/22,in,FB,FBi,,3,74,32,19,8,3
6/14/22,in,FB,FBi,,3,75,59,38,16,3
6/14/22,in,FB,FBi,,3,76,42,23,10,3
6/14/22,in,FB,FBi,,3,77,60,40,16,3
6/14/22,in,FB,FBi,,3,78,40,32,11,3
6/14/22,in,FB,FBi,,3,79,25,27,7,3
6/14/22,in,FB,FBi,,3,80,54,39,16,3
6/14/22,in,FB,FBi,,3,81,45,28,13,3
6/14/22,in,FB,FBi,,3,82,31,24,7,3
6/14/22,in,FB,FBi,,3,83,46,27,10,3
6/14/22,in,FB,FBi,,3,84,47,35,12,3
6/14/22,in,FB,FBi,,3,85,36,22,12,3
6/14/22,in,FB,FBi,,3,86,46,33,14,3
6/14/22,in,FB,FBi,,3,87,35,18,9,3
6/14/22,in,FB,FBi,,3,88,61,36,18,3
6/14/22,in,FB,FBi,,3,89,50,31,11,3
6/14/22,in,FB,FBi,,3,90,31,23,10,3
6/14/22,in,FB,FBi,,3,91,30,30,10,3
6/14/22,in,FB,FBi,,3,92,38,31,11,3
6/14/22,in,FB,FBi,,3,93,40,28,10,3
6/14/22,in,FB,FBi,,3,94,53,28,10,3
6/14/22,in,FB,FBi,,3,95,33,24,9,3
6/14/22,in,FB,FBi,,3,96,62,34,15,3
6/14/22,out,FB,FBo,,1,1,50,28,14,16
6/14/22,out,FB,FBo,,1,2,51,31,16,16
6/14/22,out,FB,FBo,,1,3,56,33,13,16
6/14/22,out,FB,FBo,,1,4,53,40,15,16
6/14/22,out,FB,FBo,,1,5,61,32,15,16
6/14/22,out,FB,FBo,,1,6,47,30,10,16
6/14/22,out,FB,FBo,,1,7,43,27,11,16
6/14/22,out,FB,FBo,,1,8,49,29,13,16
6/14/22,out,FB,FBo,,1,9,63,36,13,16
6/14/22,out,FB,FBo,,1,10,38,20,10,16
6/14/22,out,FB,FBo,,1,11,32,24,10,16
6/14/22,out,FB,FBo,,1,12,30,21,5,16
6/14/22,out,FB,FBo,,1,13,58,40,15,16
6/14/22,out,FB,FBo,,1,14,39,26,10,16
6/14/22,out,FB,FBo,,1,15,58,34,14,16
6/14/22,out,FB,FBo,,1,16,40,31,12,16
6/14/22,out,FB,FBo,,1,17,59,40,15,16
6/14/22,out,FB,FBo,,1,18,39,28,11,16
6/14/22,out,FB,FBo,,1,19,32,24,6,16
6/14/22,out,FB,FBo,,1,20,57,38,14,16
6/14/22,out,FB,FBo,,1,21,32,19,7,16
6/14/22,out,FB,FBo,,1,22,25,20,7,16
6/14/22,out,FB,FBo,,1,23,47,24,10,16
6/14/22,out,FB,FBo,,1,24,52,30,14,16
6/14/22,out,FB,FBo,,1,25,49,30,10,16
6/14/22,out,FB,FBo,,1,26,46,31,13,16
6/14/22,out,FB,FBo,,1,27,46,31,13,16
6/14/22,out,FB,FBo,,1,28,44,31,11,16
6/14/22,out,FB,FBo,,1,29,40,35,12,16
6/14/22,out,FB,FBo,,1,30,26,16,7,16
6/14/22,out,FB,FBo,,1,31,46,36,11,16
6/14/22,out,FB,FBo,,1,32,28,11,8,16
6/14/22,out,FB,FBo,,2,33,37,24,13,17
6/14/22,out,FB,FBo,,2,34,48,37,13,17
6/14/22,out,FB,FBo,,2,35,46,37,12,17
6/14/22,out,FB,FBo,,2,36,67,39,15,17
6/14/22,out,FB,FBo,,2,37,36,35,13,17
6/14/22,out,FB,FBo,,2,38,60,42,19,17
6/14/22,out,FB,FBo,,2,39,60,40,20,17
6/14/22,out,FB,FBo,,2,40,47,29,11,17
6/14/22,out,FB,FBo,,2,41,48,34,13,17
6/14/22,out,FB,FBo,,2,42,38,28,8,17
6/14/22,out,FB,FBo,,2,43,40,27,9,17
6/14/22,out,FB,FBo,,2,44,45,29,12,17
6/14/22,out,FB,FBo,,2,45,49,36,13,17
6/14/22,out,FB,FBo,,2,46,42,34,15,17
6/14/22,out,FB,FBo,,2,47,39,24,9,17
6/14/22,out,FB,FBo,,2,48,33,22,7,17
6/14/22,out,FB,FBo,,2,49,33,30,8,17
6/14/22,out,FB,FBo,,2,50,52,32,11,17
6/14/22,out,FB,FBo,,2,51,40,32,11,17
6/14/22,out,FB,FBo,,2,52,46,30,11,17
6/14/22,out,FB,FBo,,2,53,42,34,8,17
6/14/22,out,FB,FBo,,2,54,40,25,9,17
6/14/22,out,FB,FBo,,2,55,35,28,9,17
6/14/22,out,FB,FBo,,2,56,52,30,14,17
6/14/22,out,FB,FBo,,2,57,28,15,7,17
6/14/22,out,FB,FBo,,2,58,40,29,10,17
6/14/22,out,FB,FBo,,2,59,38,27,11,17
6/14/22,out,FB,FBo,,2,60,53,38,12,17
6/14/22,out,FB,FBo,,2,61,55,34,11,17
6/14/22,out,FB,FBo,,2,62,40,28,13,17
6/14/22,out,FB,FBo,,2,63,32,28,9,17
6/14/22,out,FB,FBo,,2,64,60,38,15,17
6/14/22,out,FB,FBo,,3,65,43,36,11,18
6/14/22,out,FB,FBo,,3,66,62,34,16,18
6/14/22,out,FB,FBo,,3,67,69,43,19,18
6/14/22,out,FB,FBo,,3,68,42,25,11,18
6/14/22,out,FB,FBo,,3,69,55,34,13,18
6/14/22,out,FB,FBo,,3,70,64,30,20,18
6/14/22,out,FB,FBo,,3,71,48,34,16,18
6/14/22,out,FB,FBo,,3,72,52,39,15,18
6/14/22,out,FB,FBo,,3,73,45,26,9,18
6/14/22,out,FB,FBo,,3,74,35,20,8,18
6/14/22,out,FB,FBo,,3,75,40,29,10,18
6/14/22,out,FB,FBo,,3,76,40,30,10,18
6/14/22,out,FB,FBo,,3,77,40,25,9,18
6/14/22,out,FB,FBo,,3,78,26,18,7,18
6/14/22,out,FB,FBo,,3,79,28,18,8,18
6/14/22,out,FB,FBo,,3,80,24,21,5,18
6/14/22,out,FB,FBo,,3,81,39,24,9,18
6/14/22,out,FB,FBo,,3,82,36,28,13,18
6/14/22,out,FB,FBo,,3,83,45,30,10,18
6/14/22,out,FB,FBo,,3,84,38,32,11,18
6/14/22,out,FB,FBo,,3,85,49,31,13,18
6/14/22,out,FB,FBo,,3,86,40,25,11,18
6/14/22,out,FB,FBo,,3,87,42,30,12,18
6/14/22,out,FB,FBo,,3,88,29,24,7,18
6/14/22,out,FB,FBo,,3,89,40,24,9,18
6/14/22,out,FB,FBo,,3,90,64,42,16,18
6/14/22,out,FB,FBo,,3,91,32,24,9,18
6/14/22,out,FB,FBo,,3,92,47,27,11,18
6/14/22,out,FB,FBo,,3,93,42,27,8,18
6/14/22,out,FB,FBo,,3,94,41,27,11,18
6/14/22,out,FB,FBo,,3,95,27,20,9,18
6/14/22,out,FB,FBo,,3,96,43,27,17,18
6/14/22,in,FC,FCi,1,A,1,56,36,17,19
6/14/22,in,FC,FCi,1,A,2,61,40,16,19
6/14/22,in,FC,FCi,1,A,3,56,39,15,19
6/14/22,in,FC,FCi,1,A,4,39,29,11,19
6/14/22,in,FC,FCi,1,A,5,37,26,11,19
6/14/22,in,FC,FCi,1,A,6,44,33,12,19
6/14/22,in,FC,FCi,1,A,7,49,34,14,19
6/14/22,in,FC,FCi,1,A,8,55,39,14,19
6/14/22,in,FC,FCi,1,B,9,50,30,12,20
6/14/22,in,FC,FCi,1,B,10,62,40,19,20
6/14/22,in,FC,FCi,1,B,11,38,28,11,20
6/14/22,in,FC,FCi,1,B,12,65,34,18,20
6/14/22,in,FC,FCi,1,B,13,50,29,12,20
6/14/22,in,FC,FCi,1,B,14,43,29,13,20
6/14/22,in,FC,FCi,1,B,15,27,27,10,20
6/14/22,in,FC,FCi,1,B,16,29,22,8,20
6/14/22,in,FC,FCi,1,C,17,46,33,12,21
6/14/22,in,FC,FCi,1,C,18,30,24,9,21
6/14/22,in,FC,FCi,1,C,19,34,25,10,21
6/14/22,in,FC,FCi,1,C,20,49,32,14,21
6/14/22,in,FC,FCi,1,C,21,30,29,9,21
6/14/22,in,FC,FCi,1,C,22,56,34,14,21
6/14/22,in,FC,FCi,1,C,23,34,21,8,21
6/14/22,in,FC,FCi,1,C,24,54,24,9,21
6/14/22,in,FC,FCi,1,D,25,49,33,12,22
6/14/22,in,FC,FCi,1,D,26,40,28,12,22
6/14/22,in,FC,FCi,1,D,27,47,36,15,22
6/14/22,in,FC,FCi,1,D,28,57,31,16,22
6/14/22,in,FC,FCi,1,D,29,45,35,12,22
6/14/22,in,FC,FCi,1,D,30,60,35,17,22
6/14/22,in,FC,FCi,1,D,31,46,26,10,22
6/14/22,in,FC,FCi,1,D,32,45,27,11,22
6/14/22,in,FC,FCi,2,A,33,28,21,8,23
6/14/22,in,FC,FCi,2,A,34,43,25,14,23
6/14/22,in,FC,FCi,2,A,35,54,36,16,23
6/14/22,in,FC,FCi,2,A,36,39,28,10,23
6/14/22,in,FC,FCi,2,A,37,59,32,17,23
6/14/22,in,FC,FCi,2,A,38,41,27,12,23
6/14/22,in,FC,FCi,2,A,39,45,29,10,23
6/14/22,in,FC,FCi,2,A,40,39,35,11,23
6/14/22,in,FC,FCi,2,B,41,59,37,15,24
6/14/22,in,FC,FCi,2,B,42,52,37,15,24
6/14/22,in,FC,FCi,2,B,43,47,35,14,24
6/14/22,in,FC,FCi,2,B,44,51,31,14,24
6/14/22,in,FC,FCi,2,B,45,51,32,12,24
6/14/22,in,FC,FCi,2,B,46,43,31,10,24
6/14/22,in,FC,FCi,2,B,47,36,25,12,24
6/14/22,in,FC,FCi,2,B,48,39,28,10,24
6/14/22,in,FC,FCi,2,C,49,59,32,15,25
6/14/22,in,FC,FCi,2,C,50,45,23,10,25
6/14/22,in,FC,FCi,2,C,51,42,35,13,25
6/14/22,in,FC,FCi,2,C,52,40,34,17,25
6/14/22,in,FC,FCi,2,C,53,52,34,14,25
6/14/22,in,FC,FCi,2,C,54,42,31,12,25
6/14/22,in,FC,FCi,2,C,55,38,30,11,25
6/14/22,in,FC,FCi,2,C,56,45,26,13,25
6/14/22,in,FC,FCi,2,D,57,52,40,14,26
6/14/22,in,FC,FCi,2,D,58,56,33,14,26
6/14/22,in,FC,FCi,2,D,59,39,27,11,26
6/14/22,in,FC,FCi,2,D,60,57,37,14,26
6/14/22,in,FC,FCi,2,D,61,47,33,14,26
6/14/22,in,FC,FCi,2,D,62,47,29,11,26
6/14/22,in,FC,FCi,2,D,63,61,39,19,26
6/14/22,in,FC,FCi,2,D,64,36,26,10,26
6/14/22,in,FC,FCi,3,A,65,40,29,9,27
6/14/22,in,FC,FCi,3,A,66,35,26,10,27
6/14/22,in,FC,FCi,3,A,67,40,27,10,27
6/14/22,in,FC,FCi,3,A,68,53,48,20,27
6/14/22,in,FC,FCi,3,A,69,40,28,11,27
6/14/22,in,FC,FCi,3,A,70,46,34,13,27
6/14/22,in,FC,FCi,3,A,71,34,28,8,27
6/14/22,in,FC,FCi,3,A,72,43,30,12,27
6/14/22,in,FC,FCi,3,B,73,36,25,10,28
6/14/22,in,FC,FCi,3,B,74,42,34,13,28
6/14/22,in,FC,FCi,3,B,75,59,40,14,28
6/14/22,in,FC,FCi,3,B,76,44,38,16,28
6/14/22,in,FC,FCi,3,B,77,44,37,14,28
6/14/22,in,FC,FCi,3,B,78,26,23,10,28
6/14/22,in,FC,FCi,3,B,79,40,31,11,28
6/14/22,in,FC,FCi,3,B,80,46,31,11,28
6/14/22,in,FC,FCi,3,C,81,63,45,20,29
6/14/22,in,FC,FCi,3,C,82,35,27,9,29
6/14/22,in,FC,FCi,3,C,83,32,20,8,29
6/14/22,in,FC,FCi,3,C,84,32,23,9,29
6/14/22,in,FC,FCi,3,C,85,39,28,10,29
6/14/22,in,FC,FCi,3,C,86,58,41,15,29
6/14/22,in,FC,FCi,3,C,87,51,32,12,29
6/14/22,in,FC,FCi,3,C,88,39,24,10,29
6/14/22,in,FC,FCi,3,D,89,35,27,10,30
6/14/22,in,FC,FCi,3,D,90,42,28,14,30
6/14/22,in,FC,FCi,3,D,91,63,44,12,30
6/14/22,in,FC,FCi,3,D,92,50,30,14,30
6/14/22,in,FC,FCi,3,D,93,44,29,10,30
6/14/22,in,FC,FCi,3,D,94,48,38,13,30
6/14/22,in,FC,FCi,3,D,95,42,29,11,30
6/14/22,in,FC,FCi,3,D,96,54,34,10,30
6/14/22,out,FC,FCo,1,A,1,45,30,13,4
6/14/22,out,FC,FCo,1,A,2,49,35,9,4
6/14/22,out,FC,FCo,1,A,3,42,31,11,4
6/14/22,out,FC,FCo,1,A,4,52,30,12,4
6/14/22,out,FC,FCo,1,A,5,55,32,16,4
6/14/22,out,FC,FCo,1,A,6,39,27,12,4
6/14/22,out,FC,FCo,1,A,7,36,26,9,4
