Trial_Date,Location,Extracted_Date,Extraction_Time,Reading_Date,Reading_Time,Low_Standard_Before,High_Standard_Before,Acetone_vol,Tube_Num,Vol_Filtered,Fo,Fa,Fo/Fa,Low_Standard_After,High_Standard_After,Major_issue
7/12/22,Outside,7/12/22,17:00:00,7/13/22,17:00:00,5469.59,92597.22,5.0,4,250,1049407.50,678936.94,1.545662694,5515.72,95064.68,FALSE
7/12/22,Outside,7/12/22,17:00:00,7/13/22,17:00:00,5469.59,92597.22,5.0,5,250,1450507.38,855163.00,1.696176495,5515.72,95064.68,FALSE
7/12/22,Outside,7/12/22,17:00:00,7/13/22,17:00:00,5469.59,92597.22,5.0,6,250,1171198.00,759748.00,1.541561149,5515.72,95064.68,FALSE
7/19/22,Inside,7/19/22,12:30:00,7/20/22,16:10:00,5488.06,91399.05,5.0,1,250,753787.31,459353.56,1.640974133,5523.80,96645.17,FALSE
7/19/22,Inside,7/19/22,12:30:00,7/20/22,16:10:00,5488.06,91399.05,5.0,2,250,770179.88,474872.53,1.621866567,5523.80,96645.17,FALSE
7/19/22,Inside,7/19/22,12:30:00,7/20/22,16:10:00,5488.06,91399.05,5.0,3,250,579242.44,359196.00,1.61260827,5523.80,96645.17,FALSE
7/19/22,Outside,7/19/22,13:45:00,7/20/22,16:10:00,5488.06,91399.05,5.0,4,250,968549.06,605453.75,1.599707756,5523.80,96645.17,FALSE
7/19/22,Outside,7/19/22,13:45:00,7/20/22,16:10:00,5488.06,91399.05,5.0,5,250,959402.62,594610.81,1.613496768,5523.80,96645.17,FALSE
7/19/22,Outside,7/19/22,13:45:00,7/20/22,16:10:00,5488.06,91399.05,5.0,6,250,771373.81,486067.84,1.586967387,5523.80,96645.17,FALSE
7/27/22,Inside,7/27/22,8:00:00,7/28/22,11:00:00,5586.82,94934.45,3.0,1,125,395585.12,267725.97,1.477574701,5484.69,91988.31,FALSE
7/27/22,Inside,7/27/22,8:00:00,7/28/22,11:00:00,5586.82,94934.45,5.0,2,125,406895.88,277031.31,1.468772176,5484.69,91988.31,FALSE
7/27/22,Inside,7/27/22,8:00:00,7/28/22,11:00:00,5586.82,94934.45,5.0,3,125,436506.78,294342.84,1.482987594,5484.69,91988.31,FALSE
7/27/22,Outside,7/27/22,8:00:00,7/28/22,11:00:00,5586.82,94934.45,5.0,4,125,449505.00,311304.31,1.443940818,5484.69,91988.31,FALSE
7/27/22,Outside,7/27/22,8:00:00,7/28/22,11:00:00,5586.82,94934.45,4.0,5,125,442045.94,305884.34,1.445140801,5484.69,91988.31,FALSE
7/27/22,Outside,7/27/22,8:00:00,7/28/22,11:00:00,5586.82,94934.45,5.0,6,125,471514.09,327496.53,1.439752934,5484.69,91988.31,FALSE
8/2/22,Inside,8/2/22,10:50:00,8/3/22,14:25:00,5531.87,92608.16,5.0,1,125,840445.00,510539.69,1.646189349,5562.39,94809.78,FALSE
8/2/22,Inside,8/2/22,10:50:00,8/3/33,14:25:00,5531.87,92608.16,5.0,2,125,808510.56,482813.31,1.674582169,5562.39,94809.78,FALSE
8/2/22,Inside,8/2/22,10:50:00,8/3/22,14:25:00,5531.87,92608.16,5.0,3,125,812768.88,488684.53,1.663177019,5562.39,94809.78,FALSE
8/2/22,Outside,8/2/22,11:10:00,8/3/33,14:25:00,5531.87,92608.16,5.0,4,120,555366.38,366031.75,1.51726286,5562.39,94809.78,FALSE
8/2/22,Outside,8/2/22,11:10:00,8/3/22,14:25:00,5531.87,92608.16,5.0,5,125,504083.12,325724.19,1.547576555,5562.39,94809.78,FALSE
8/2/22,Outside,8/2/22,11:10:00,8/3/33,14:25:00,5531.87,92608.16,5.0,6,125,573752.12,371957.94,1.542518813,5562.39,94809.78,FALSE
8/10/22,Inside,8/10/22,18:30:00,8/11/22,19:15:00,5478.06,93541.55,5.0,1,125,382994.22,248114.66,1.543617858,5490.59,92601.20,FALSE
8/10/22,Inside,8/10/22,18:30:00,8/11/22,19:15:00,5478.06,93541.55,5.0,2,125,368929.09,237509.33,1.553324621,5490.59,92601.20,FALSE
8/10/22,Inside,8/10/22,18:30:00,8/11/22,19:15:00,5478.06,93541.55,5.0,3,125,349392.94,225642.17,1.548438131,5490.59,92601.20,FALSE
8/10/22,Outside,8/10/22,18:50:00,8/11/22,19:15:00,5478.06,93541.55,5.0,4,125,518303.91,360877.78,1.436231153,5490.59,92601.20,FALSE
8/10/22,Outside,8/10/22,18:50:00,8/11/22,19:15:00,5478.06,93541.55,5.0,5,125,557750.50,389299.28,1.432703652,5490.59,92601.20,FALSE
8/10/22,Outside,8/10/22,18:50:00,8/11/22,19:15:00,5478.06,93541.55,5.0,6,125,550675.19,376751.81,1.461639136,5490.59,92601.20,FALSE
8/16/22,Inside,8/16/22,10:50:00,8/17/22,11:45:00,5516.48,93836.69,5.0,1,125,531130.75,268809.50,1.975863018,5550.15,94999.53,FALSE
8/16/22,Inside,8/16/22,10:50:00,8/17/22,11:45:00,5516.48,93836.69,5.0,2,125,446638.47,224045.03,1.99352099,5550.15,94999.53,FALSE
8/16/22,Inside,8/16/22,10:50:00,8/17/22,11:45:00,5516.48,93836.69,5.0,3,125,831974.88,805224.19,1.033221419,5550.15,94999.53,TRUE
8/16/22,Outside,8/16/22,11:05:00,8/17/22,11:45:00,5516.48,93836.69,5.0,4,125,255919.75,167242.23,1.53023402,5550.15,94999.53,FALSE
8/16/22,Outside,8/16/22,11:05:00,8/17/22,11:45:00,5516.48,93836.69,5.0,5,125,264207.69,156595.80,1.68719525,5550.15,94999.53,FALSE
8/16/22,Outside,8/16/22,11:05:00,8/17/22,11:45:00,5516.48,93836.69,5.0,6,125,249572.62,167423.34,1.490668028,5550.15,94999.53,FALSE
9/15/22,Inside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,1,250,284141.19,203298.78,1.397653198,5495.46,96966.39,FALSE
9/15/22,Inside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,2,250,258809.50,184026.66,1.406369599,5495.46,96966.39,FALSE
9/15/22,Inside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,3,250,317505.66,225638.23,1.407144791,5495.46,96966.39,FALSE
9/15/22,Outside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,4,250,282768.31,189834.98,1.489547975,5495.46,96966.39,FALSE
9/15/22,Outside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,5,250,163585.12,110343.09,1.482513495,5495.46,96966.39,FALSE
9/15/22,Outside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,6,250,284146.91,191179.31,1.486284839,5495.46,96966.39,FALSE
9/28/22,Inside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,7,250,748628.25,496398.88,1.50811833,5495.46,96966.39,FALSE
9/28/22,Inside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,8,250,770185.88,503138.69,1.530762582,5495.46,96966.39,FALSE
9/28/22,Inside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,9,250,788265.38,516774.97,1.525355185,5495.46,96966.39,FALSE
9/28/22,Outside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,10,250,742425.19,506097.06,1.466962069,5495.46,96966.39,FALSE
9/28/22,Outside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,11,250,765854.88,520930.22,1.470167885,5495.46,96966.39,FALSE
9/28/22,Outside,9/28/22,16:25:00,9/30/22,13:00:00,5511.62,96303.16,5.0,12,250,785616.94,527867.38,1.48828469,5495.46,96966.39,FALSE
10/17/22,Inside,11/9/22,16:25:00,11/11/22,12:15,5347.85,96162.55,5.0,1,250,357775.66,255321.73,1.401273836,5573.32,97761.06,FALSE
10/17/22,Inside,11/9/22,16:25:00,11/11/22,12:15,5347.85,96162.55,5.0,2,250,345511.62,247013.80,1.398754321,5573.32,97761.06,FALSE
10/17/22,Inside,11/9/22,16:25:00,11/11/22,12:15,5347.85,96162.55,5.0,3,250,350704.06,250935.80,1.397584801,5573.32,97761.06,FALSE
10/17/22,Outside,11/9/22,16:25:00,11/11/22,12:15,5347.85,96162.55,5.0,4,250,386845.75,282883.81,1.367507564,5573.32,97761.06,FALSE
10/17/22,Outside,11/9/22,16:25:00,11/11/22,12:15,5347.85,96162.55,5.0,5,250,406873.75,290303.00,1.401548554,5573.32,97761.06,FALSE
10/17/22,Outside,11/9/22,16:25:00,11/11/22,12:15,5347.85,96162.55,5.0,6,250,370369.94,264989.50,1.397677795,5573.32,97761.06,FALSE
